시군구명,어린이집명,어린이집유형,운영현황,상세주소,보육실수,보육실 면적,놀이터수,CCTV총설치수,정원,현원,시설 위도(좌표값),시설 경도(좌표값),통학차량운영여부,인가일자,제공서비스,반수,아동수,보육교직원수
동작구,구립아리아어린이집,국공립,정상,서울특별시 동작구 보라매로5길 51 102호,4,103,0,6,33,28,37.49079715,126.9231707,미운영,2027-12-31,야간연장휴일보육시간제보육,7,28,12
구로구,달숲어린이집,국공립,정상,서울특별시 구로구 중앙로5길 59 고척아이파크 RD 내 관리동,6,478,2,0,89,0,37.56647,126.977963,,2022-09-01,장애아통합,0,0,0
마포구,삼성아이마루어린이집,국공립,정상,서울특별시 마포구 백범로25길 63 염리삼성래미안 관리동,4,107,1,8,30,22,37.54853036,126.9461458,미운영,2022-09-01,일반,7,22,10
구로구,별숲어린이집,국공립,정상,서울특별시 구로구 경인로43길 49 고척아이파크MD 내 관리실,10,1649,3,0,180,0,37.56647,126.977963,,2022-09-01,야간연장,0,0,0
중랑구,중랑실내놀이터,국공립,정상,서울특별시 중랑구 용마산로 209,0,641,0,0,0,0,,,,2022-08-26,시간제보육,0,0,0
영등포구,LG 에너지솔루션 지정 어린이집,직장,정상,서울특별시 영등포구 여의대로 108 파크원빌딩 3층,9,375,1,0,108,60,37.56647,126.977963,,2022-08-24,일반,24,60,42
강남구,케이티앤지 어린이집,직장,정상,서울특별시 강남구 영동대로 416 케이티앤지타워 1층,4,159,0,8,49,8,37.5064682,127.0650887,미운영,2022-08-23,일반,4,8,6
양천구,나연어린이집,가정,정상,서울특별시 양천구 목동서로 280 804동 104호,3,37,0,3,12,6,37.56647,126.977963,미운영,2022-08-08,야간연장,4,6,3
송파구,돌마리어린이집,국공립,정상,서울특별시 송파구 백제고분로40길 13-16 돌마리어린이집 2층 (석촌동),5,363,1,26,79,71,37.50354405,127.1074342,미운영,2022-07-29,야간연장,7,71,14
관악구,구립뉴포레어린이집,국공립,정상,서울특별시 관악구 조원로 24 힐스테이트뉴포레아파트,6,663,1,28,88,25,37.48376035,126.9047172,미운영,2022-07-13,일반,6,25,10
구로구,디지털꿈터어린이집,국공립,정상,서울특별시 구로구 디지털로27길 36 1층 108호,4,298,0,15,49,15,37.48402245,126.8925284,,2022-07-06,장애아통합야간연장,4,15,8
용산구,원효루미니어린이집,국공립,정상,서울특별시 용산구 원효로97길 15 1층,4,91,0,13,32,17,37.56647,126.977963,미운영,2022-07-01,일반,5,17,7
동작구,구립신대방누리어린이집,국공립,정상,서울특별시 동작구 신대방1다길 19 1층,4,135,0,0,0,0,37.56647,126.977963,,2022-07-01,일반,0,0,1
영등포구,신길더샵해늘어린이집,국공립,정상,서울특별시 영등포구 가마산로79길 37 관리동,4,127,0,0,45,38,37.56647,126.977963,,2022-07-01,야간연장,7,38,11
은평구,구립 북한산힐스솔숲어린이집,국공립,정상,서울특별시 은평구 불광로2길 33 북한산힐스테이트1차아파트 단지 내,3,69,0,9,23,1,37.61299418,126.9369932,미운영,2022-06-30,야간연장,1,1,3
양천구,토리좋은세상어린이집,직장,정상,서울특별시 양천구 신목로5길 5 개진빌딩 1층,3,60,0,8,22,8,37.56647,126.977963,미운영,2022-06-22,일반,3,8,6
강서구,청정원 마곡 어린이집,직장,정상,서울특별시 강서구 초원로16길 12,4,170,0,0,49,9,37.56694933,126.8150605,,2022-06-14,일반,4,9,6
양천구,구립 다온어린이집,국공립,정상,서울특별시 양천구 중앙로29길 11 호반써밋목동아파트,3,80,0,11,30,15,37.51643139,126.8526402,미운영,2022-06-01,일반,3,15,5
마포구,모아어린이집,민간,정상,서울특별시 마포구 월드컵북로30길 9-22 110동 1층 2호,4,89,0,5,30,9,37.5694915,126.908618,미운영,2022-05-18,일반,3,9,4
은평구,구립 마루어린이집,국공립,정상,서울특별시 은평구 백련산로4길 17-7,6,185,1,16,64,49,37.59514979,126.9249517,미운영,2022-05-03,일반,12,49,18
마포구,현대홈타운어린이집,국공립,정상,서울특별시 마포구 새창로8길 72 현대홈타운 204-101,3,67,1,9,20,16,37.56668895,126.9780637,미운영,2022-05-02,일반,5,16,8
중랑구,행복어린이집,국공립,정상,서울특별시 중랑구 양원역로 92 (망우동),5,260,1,11,94,71,37.6091628,127.106751,미운영,2022-05-01,일반,11,71,18
도봉구,도봉산탐험대 숲어린이집,협동,정상,서울특별시 도봉구 시루봉로 107 29동 105호,2,71,0,0,15,12,37.65947622,127.0270295,,2022-04-28,장애아통합,4,12,4
양천구,목동깨비장난감도서관공동육아방,국공립,정상,서울특별시 양천구 목동중앙북로2길 8 3층,0,493,0,0,0,0,,,,2022-04-27,시간제보육,0,0,0
동작구,포레힐즈어린이집,민간,정상,서울특별시 동작구 동작대로45길 10 이수스위첸포레힐즈아파트 단지 내,3,96,0,8,36,20,37.49787114,126.9819853,미운영,2022-04-22,일반,8,20,8
중랑구,망우자람공동육아방,국공립,정상,서울특별시 중랑구 용마산로 461,0,69,0,0,0,0,,,,2022-04-19,시간제보육,0,0,0
은평구,구립 DMC센트럴자이새봄어린이집,국공립,정상,서울특별시 은평구 수색로 200 DMC센트럴자이 2블럭 단지 내,3,117,0,8,36,35,37.57872149,126.8994482,미운영,2022-04-08,야간연장,7,35,12
은평구,구립 DMC센트럴자이나무어린이집,국공립,정상,서울특별시 은평구 수색로 200 DMC센트럴자이3블럭 단지 내,6,185,1,17,68,68,37.57936914,126.9035625,미운영,2022-04-08,장애아통합야간연장,7,68,13
강서구,등촌제일어린이집,가정,정상,서울특별시 강서구 공항대로53가길 50 1층,4,55,0,12,18,16,37.55552915,126.8590934,미운영,2022-04-08,일반,5,16,5
성북구,리슈빌어린이집,국공립,정상,서울특별시 성북구 보문로26길 17,4,110,0,11,41,23,37.56647,126.977963,미운영,2022-03-30,야간연장,5,23,7
서대문구,새빛어린이집,국공립,정상,서울특별시 서대문구 세무서8길 30 새빛어린이집,9,351,1,27,96,69,37.58874939,126.9480246,미운영,2022-03-28,일반,13,69,20
은평구,구립 가람별어린이집,국공립,정상,서울특별시 은평구 진관3로 77 921동(진관동 은평뉴타운 구파발),4,85,1,10,32,25,37.56647,126.977963,미운영,2022-03-28,야간연장,5,25,9
강서구,홈앤쇼핑 어린이집,직장,정상,서울특별시 강서구 공항대로 150 홈앤쇼핑 3층,3,109,0,20,30,10,37.56647,126.977963,미운영,2022-03-15,일반,4,10,7
성북구,101경비단 어린이집,직장,정상,서울특별시 성북구 정릉로10라길 18-5,10,399,1,32,100,18,37.60555982,126.9994338,미운영,2022-03-07,일반,9,18,13
서대문구,참사랑어린이집,가정,정상,서울특별시 서대문구 이화여대8길 62 두산아파트 102동 106호,3,47,0,5,15,15,37.55932037,126.9499705,미운영,2022-03-01,야간연장,3,15,6
강동구,구립하랑어린이집,국공립,정상,서울특별시 강동구 고덕로98길 161 강동리엔파크13단지,5,197,0,19,66,61,37.56647,126.977963,미운영,2022-03-01,장애아통합,8,61,12
노원구,태릉해링턴어린이집,국공립,정상,서울특별시 노원구 공릉로34길 86 공릉동 태릉해링턴플레이스아파트 내,6,231,0,16,76,57,37.62596923,127.0834592,미운영,2022-03-01,일반,7,57,10
마포구,IBK참!좋은(마포)어린이집,직장,정상,서울특별시 마포구 큰우물로 64 1층,4,209,0,19,49,17,37.56647,126.977963,미운영,2022-03-01,일반,6,17,9
종로구,감사원어린이집,직장,정상,서울특별시 종로구 북촌로 127,4,175,0,26,49,10,37.56647,126.977963,미운영,2022-03-01,일반,4,10,7
