구,공원 면적 (천㎡),1인당 공원면적 (㎡),도시공원 면적 (천㎡),1인당 도시공원면적 (㎡),도보생활권공원 면적 (천㎡),1인당 도보생활권공원면적 (㎡)
종로구,11402.58,71.72,6280.66,39.5,3024.28,19.02
중구,3163.83,23.5,3091.3,22.96,1344.78,9.99
용산구,1777.06,7.26,760.62,3.11,1612.72,6.59
성동구,3073.98,10.23,1231.01,4.1,2896.08,9.64
광진구,3451.04,9.58,2985.27,8.29,1350.93,3.75
동대문구,1219.25,3.42,978.13,2.74,1048.74,2.94
중랑구,4990.3,12.49,4807.63,12.03,1668.9,4.18
성북구,8507.35,19.03,4586.77,10.26,1640.43,3.67
강북구,14424.5,46.3,2369.58,7.61,1955.55,6.28
도봉구,10160.38,31.04,1250.21,3.82,1121.06,3.42
노원구,14741.81,27.97,14406.71,27.34,1883.81,3.57
은평구,14365.72,29.68,6597.53,13.63,2200.62,4.55
서대문구,5082.16,15.74,4843.67,15,1123.23,3.48
마포구,4565.37,11.96,3252.39,8.52,4337.71,11.36
양천구,3049.63,6.66,2627.05,5.74,2205.57,4.82
강서구,4512.05,7.7,3427.68,5.85,3519.75,6.01
구로구,3641.45,8.42,3319.7,7.68,1533.35,3.55
금천구,2774.38,11.19,2610.4,10.53,562.74,2.27
영등포구,3009.28,7.39,664.47,1.63,2957.42,7.26
동작구,4328.74,10.78,4092.53,10.19,2311.18,5.76
관악구,12431.42,24.38,12424.91,24.37,1910.24,3.75
서초구,15072.56,35.13,14265.72,33.25,2147.8,5.01
강남구,7768.75,14.28,6479.09,11.91,3628.21,6.67
송파구,4771.42,7.08,2097.14,3.11,4357.26,6.47
강동구,3362.41,7.25,2820.18,6.08,2099.86,4.53
